"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2026","1,225.00","1,245.00","1,250.00","1,225.00","8.13K","-0.81%"
"04/14/2026","1,235.00","1,170.00","1,235.00","1,170.00","40.15K","6.19%"
"04/13/2026","1,163.00","1,170.00","1,178.00","1,158.00","6.14K","-2.68%"
"04/10/2026","1,195.00","1,173.00","1,201.00","1,171.00","28.97K","1.70%"
"04/09/2026","1,175.00","1,175.00","1,180.00","1,165.00","24.26K","0.86%"
"04/08/2026","1,165.00","1,161.00","1,169.00","1,150.00","16.90K","4.48%"
"04/07/2026","1,115.00","1,133.00","1,133.00","1,110.00","5.75K","-0.27%"
"04/06/2026","1,118.00","1,121.00","1,135.00","1,114.00","6.48K","0.72%"
"04/03/2026","1,110.00","1,135.00","1,145.00","1,110.00","36.37K","-2.80%"
"04/02/2026","1,142.00","1,130.00","1,148.00","1,130.00","8.76K","-0.52%"
"04/01/2026","1,148.00","1,150.00","1,153.00","1,131.00","11.33K","3.42%"
"03/31/2026","1,110.00","1,130.00","1,130.00","1,110.00","1.70K","-1.77%"
"03/30/2026","1,130.00","1,149.00","1,149.00","1,130.00","1.78K","-0.96%"
"03/27/2026","1,141.00","1,130.00","1,165.00","1,126.00","20.72K","0.97%"
"03/26/2026","1,130.00","1,120.00","1,135.00","1,117.00","16.73K","1.07%"
"03/25/2026","1,118.00","1,107.00","1,120.00","1,105.00","13.02K","1.54%"
"03/24/2026","1,101.00","1,100.00","1,110.00","1,090.00","14.78K","0.92%"
"03/19/2026","1,091.00","1,110.00","1,110.00","1,070.00","10.85K","-0.91%"
"03/18/2026","1,101.00","1,088.00","1,101.00","1,066.00","5.60K","2.42%"
"03/17/2026","1,075.00","1,085.00","1,085.00","1,065.00","3.80K","0.94%"
"03/16/2026","1,065.00","1,050.00","1,075.00","1,050.00","15.11K","-0.93%"
"03/13/2026","1,075.00","1,079.00","1,080.00","1,051.00","17.21K","-0.46%"
"03/12/2026","1,080.00","1,082.00","1,088.00","1,051.00","7.88K","0.00%"
"03/11/2026","1,080.00","1,080.00","1,081.00","1,067.00","5.78K","1.41%"
"03/10/2026","1,065.00","1,075.00","1,088.00","1,061.00","11.09K","5.55%"
"03/09/2026","1,009.00","1,001.00","1,035.00","1,000.00","29.68K","-5.26%"
"03/06/2026","1,065.00","1,114.00","1,138.00","1,065.00","37.32K","-2.29%"
"03/05/2026","1,090.00","1,035.00","1,090.00","1,021.00","37.01K","9.00%"
"03/04/2026","1,000.00","982.00","1,045.00","982.00","39.38K","2.04%"
"03/03/2026","980.00","1,029.00","1,029.00","975.00","46.51K","-6.67%"
"03/02/2026","1,050.00","1,051.00","1,099.00","1,045.00","22.26K","-7.49%"
"02/27/2026","1,135.00","1,175.00","1,175.00","1,135.00","13.49K","-2.99%"
"02/26/2026","1,170.00","1,173.00","1,173.00","1,165.00","5.69K","0.34%"
